,topic_id,sentiment_value,topic_name,sentiment
0,4,-8,"gimana, mall, rutenya, tj, central",Negative
1,2,0,"kah, tj, koridor, pake, tolong",Neutral
2,3,-6,"halte, gbk, arah, senayan, kuningan",Negative
3,8,-1,"tap, out, in, kepotong, saldo",Negative
4,7,0,"halo, rute, layanan, slipi, padam",Neutral
5,1,-8,"jam, sampe, kak, rute, jurusan",Negative
6,5,-1,"tracking, maps, google, live, fitur",Negative
7,10,-5,"jam, brp, operasional, weekday, weekend",Negative
8,6,0,"kemayoran, halte, jiexpo, gmna, rutenya",Neutral
9,9,0,"penumpang, minggu, supir, kendaraan, ngetem",Neutral
